reference	sources
羅馬書 15:1-33	15-christs-example-mission.md
羅馬書 15:14-21	15-christs-example-mission.md
羅馬書 15:23	00-overview.md
羅馬書 15:24	00-overview.md
羅馬書 15:25-26	00-overview.md
羅馬書 15:9-11	00-overview.md
羅馬書 16	16-greetings-conclusion.md, 99-to-spain.md
羅馬書 16:1-27	16-greetings-conclusion.md
羅馬書 16:17-19	16-greetings-conclusion.md
羅馬書 16:20	16-greetings-conclusion.md
羅馬書 16:23	00-overview.md, 01-gospel-and-condemnation.md, 15-christs-example-mission.md
羅馬書 16:25-27	16-greetings-conclusion.md
羅馬書 1:1-32	01-gospel-and-condemnation.md
羅馬書 1:11-13	12-living-sacrifice.md
羅馬書 1:13	16-greetings-conclusion.md
羅馬書 1:16	999-afterword.md
羅馬書 1:16-17	00-overview.md, 00a-romans-position.md, 00b-systematic-reception.md
羅馬書 1:16-18	01-gospel-and-condemnation.md
羅馬書 1:17	00a-romans-position.md, 01-gospel-and-condemnation.md
羅馬書 1:19-20	01-gospel-and-condemnation.md
羅馬書 1:20	02-righteous-judgment.md
羅馬書 1:3-4	99-to-spain.md
羅馬書 1:5	16-greetings-conclusion.md
羅馬書 2	02-righteous-judgment.md, 04-abrahams-faith.md
羅馬書 2:1-29	02-righteous-judgment.md
羅馬書 2:13	02-righteous-judgment.md
羅馬書 2:17-29	02-righteous-judgment.md
羅馬書 2:29	02-righteous-judgment.md, 07-law-and-flesh.md
羅馬書 3	03-universal-sin-justification.md
羅馬書 3:1-31	03-universal-sin-justification.md
羅馬書 3:10-12	02-righteous-judgment.md
羅馬書 3:10-18	00-overview.md
羅馬書 3:20	03-universal-sin-justification.md, 04-abrahams-faith.md
羅馬書 3:21-26	00-overview.md, 03-universal-sin-justification.md
羅馬書 3:21-31	03-universal-sin-justification.md, 04-abrahams-faith.md
羅馬書 3:22-23	10-faith-and-mission.md
羅馬書 3:23	00b-systematic-reception.md
羅馬書 3:23-24	06-united-with-christ.md
羅馬書 3:24-25	00-overview.md, 00b-systematic-reception.md, 03-universal-sin-justification.md
羅馬書 3:25	03-universal-sin-justification.md
羅馬書 3:9	02-righteous-judgment.md
羅馬書 4	00-overview.md, 04-abrahams-faith.md, 99-to-spain.md
羅馬書 4:1-25	04-abrahams-faith.md
羅馬書 4:1-8	04-abrahams-faith.md
羅馬書 4:22-25	00-overview.md
